year,diagnosis,yld,rank
2003,Genital prolapse,22627,1
2003,Polycystic ovarian syndrome (PCOS),12726,2
2003,Endometriosis,4695,3
2003,Other reproductive conditions,1936,4
2003,Infertility,440,5
2003,Hypertensive disorders of pregnancy,302,6
2003,Early pregnancy loss,259,7
2003,Gestational diabetes,156,8
2003,Uterine fibroids,144,9
2003,Obstructed labour,138,10
2003,Other maternal conditions,137,11
2003,Maternal haemorrhage,111,12
2003,Maternal infections,32,13
2023,Genital prolapse,34251,1
2023,Polycystic ovarian syndrome (PCOS),17285,2
2023,Endometriosis,8213,3
2023,Other reproductive conditions,2459,4
2023,Gestational diabetes,819,5
2023,Infertility,797,6
2023,Hypertensive disorders of pregnancy,349,7
2023,Maternal haemorrhage,306,8
2023,Obstructed labour,289,9
2023,Other maternal conditions,270,10
2023,Early pregnancy loss,247,11
2023,Uterine fibroids,138,12
2023,Maternal infections,68,13
