symptom,most_impactful_n,most_impactful_pct,experienced_n,experienced_pct,impact_ratio_pct
Pelvic pain,198,20,868,88,23
Abdominal pain,146,15,918,93,16
Cramps,70,7,850,86,8
Ovary pain,67,7,718,73,9
Back pain,64,7,838,85,8
Period pain,63,6,742,75,8
Fatigue,50,5,883,90,6
Leg/hip/groin pain,48,5,704,72,7
Bloating,34,3,901,92,4
Heavy menstrual periods,28,3,485,49,6
Infertility,27,3,177,18,15
Painful sex,27,3,620,63,4
Pain emptying bowels,21,2,587,60,4
Mood disturbances,18,2,745,76,2
Migraine,17,2,402,41,4
Nausea,15,2,644,66,2
Bowel dysfunction,14,1,519,53,3
Uterus pain,11,1,563,57,2
Irregular bleeding/spotting,10,1,443,45,2
Rectal pain,9,1,549,56,2
Constipation,8,1,663,67,1
Diarrhea,7,1,535,54,1
Irregular menstrual cycles,7,1,430,44,2
Headache,4,0,664,68,1
Blood clots during period,3,0,512,52,1
