year,age_group,total_any_n,total_any_rate
2012–13,15 – 19 years,987,138.5
2012–13,20 – 24 years,2593,323.9
2012–13,25 – 29 years,3673,433.5
2012–13,30 – 34 years,5110,633.1
2012–13,35 – 39 years,5043,647.1
2012–13,40 – 44 years,4657,559.2
2012–13,45 – 49 years,3337,431.0
2012–13,50 – 54 years,1628,209.8
2012–13,55 – 59 years,606,86.9
2012–13,60 – 64 years,439,70.5
2013–14,15 – 19 years,1032,144.2
2013–14,20 – 24 years,2835,350.2
2013–14,25 – 29 years,3826,442.0
2013–14,30 – 34 years,5401,645.8
2013–14,35 – 39 years,5257,675.5
2013–14,40 – 44 years,5028,598.4
2013–14,45 – 49 years,3574,459.6
2013–14,50 – 54 years,1784,226.9
2013–14,55 – 59 years,692,97.2
2013–14,60 – 64 years,448,70.6
2014–15,15 – 19 years,1097,153.0
2014–15,20 – 24 years,2965,363.5
2014–15,25 – 29 years,4086,463.7
2014–15,30 – 34 years,5485,635.3
2014–15,35 – 39 years,5318,679.4
2014–15,40 – 44 years,5035,600.4
2014–15,45 – 49 years,3628,460.7
2014–15,50 – 54 years,1764,223.1
2014–15,55 – 59 years,659,90.6
2014–15,60 – 64 years,402,62.1
2015–16,15 – 19 years,1145,159.4
2015–16,20 – 24 years,3279,397.9
2015–16,25 – 29 years,4443,495.3
2015–16,30 – 34 years,6264,704.7
2015–16,35 – 39 years,5969,749.8
2015–16,40 – 44 years,5245,633.9
2015–16,45 – 49 years,3726,462.1
2015–16,50 – 54 years,1729,219.5
2015–16,55 – 59 years,609,81.9
2015–16,60 – 64 years,370,56.0
2016–17,15 – 19 years,1231,170.9
2016–17,20 – 24 years,3527,423.5
2016–17,25 – 29 years,4502,492.9
2016–17,30 – 34 years,6266,686.8
2016–17,35 – 39 years,6208,757.2
2016–17,40 – 44 years,5322,654.6
2016–17,45 – 49 years,3946,475.5
2016–17,50 – 54 years,1689,215.6
2016–17,55 – 59 years,572,75.2
2016–17,60 – 64 years,330,48.9
2017–18,15 – 19 years,1438,199.3
2017–18,20 – 24 years,3907,464.9
2017–18,25 – 29 years,4975,537.2
2017–18,30 – 34 years,6459,694.4
2017–18,35 – 39 years,6440,757.1
2017–18,40 – 44 years,5394,670.5
2017–18,45 – 49 years,3908,462.0
2017–18,50 – 54 years,1578,202.4
2017–18,55 – 59 years,573,74.0
2017–18,60 – 64 years,340,49.2
2018–19,15 – 19 years,1595,220.1
2018–19,20 – 24 years,4484,530.0
2018–19,25 – 29 years,5210,555.9
2018–19,30 – 34 years,6931,733.5
2018–19,35 – 39 years,6844,775.0
2018–19,40 – 44 years,5480,681.2
2018–19,45 – 49 years,4177,490.0
2018–19,50 – 54 years,1591,203.8
2018–19,55 – 59 years,532,67.7
2018–19,60 – 64 years,335,47.4
2019–20,15 – 19 years,1483,205.3
2019–20,20 – 24 years,4166,498.7
2019–20,25 – 29 years,5017,531.8
2019–20,30 – 34 years,6199,646.1
2019–20,35 – 39 years,6245,683.8
2019–20,40 – 44 years,5040,619.3
2019–20,45 – 49 years,3691,432.9
2019–20,50 – 54 years,1495,189.0
2019–20,55 – 59 years,475,59.6
2019–20,60 – 64 years,328,44.9
2020–21,15 – 19 years,1724,240.5
2020–21,20 – 24 years,5361,669.0
2020–21,25 – 29 years,6279,684.3
2020–21,30 – 34 years,8064,840.6
2020–21,35 – 39 years,8145,874.1
2020–21,40 – 44 years,6266,756.3
2020–21,45 – 49 years,4457,529.6
2020–21,50 – 54 years,1901,235.6
2020–21,55 – 59 years,599,75.5
2020–21,60 – 64 years,350,46.8
2021–22,15 – 19 years,1782,245.5
2021–22,20 – 24 years,5083,655.1
2021–22,25 – 29 years,5940,665.1
2021–22,30 – 34 years,7323,763.7
2021–22,35 – 39 years,7338,777.1
2021–22,40 – 44 years,5811,684.0
2021–22,45 – 49 years,3919,474.9
2021–22,50 – 54 years,1705,206.0
2021–22,55 – 59 years,567,72.4
2021–22,60 – 64 years,333,43.8
2022–23,15 – 19 years,1821,239.76
2022–23,20 – 24 years,5301,652.95
2022–23,25 – 29 years,6594,713.88
2022–23,30 – 34 years,7801,793.58
2022–23,35 – 39 years,8250,854.99
2022–23,40 – 44 years,6527,741.17
2022–23,45 – 49 years,4289,524.04
2022–23,50 – 54 years,1925,227.28
2022–23,55 – 59 years,610,78.37
2022–23,60 – 64 years,365,47.2
